DatasetID	FileSynapseName	FileDownloadName	fileType	FileSynID	parentId	projectId	subpoolOrLaneID
230601_iPSC_art_ven_EC_10Xmultiome	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster7.tsv	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster7.tsv	cluster pseudobulk ATAC unsorted tagAlign	syn52236907	syn52236866	syn29530512	all
230601_iPSC_art_ven_EC_10Xmultiome	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster6.tsv	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster6.tsv	cluster pseudobulk ATAC unsorted tagAlign	syn52236908	syn52236866	syn29530512	all
230601_iPSC_art_ven_EC_10Xmultiome	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster2.tsv	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster2.tsv	cluster pseudobulk ATAC unsorted tagAlign	syn52236915	syn52236866	syn29530512	all
230601_iPSC_art_ven_EC_10Xmultiome	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster3.tsv	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster3.tsv	cluster pseudobulk ATAC unsorted tagAlign	syn52236918	syn52236866	syn29530512	all
230601_iPSC_art_ven_EC_10Xmultiome	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster1.tsv	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster1.tsv	cluster pseudobulk ATAC unsorted tagAlign	syn52236921	syn52236866	syn29530512	all
230601_iPSC_art_ven_EC_10Xmultiome	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster0.tsv	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster0.tsv	cluster pseudobulk ATAC unsorted tagAlign	syn52236928	syn52236866	syn29530512	all
230601_iPSC_art_ven_EC_10Xmultiome	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster8.tsv	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster8.tsv	cluster pseudobulk ATAC unsorted tagAlign	syn52236929	syn52236866	syn29530512	all
230601_iPSC_art_ven_EC_10Xmultiome	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster9.tsv	tagAlign_230601_iPSC_art_ven_EC_10Xmultiome_Cluster9.tsv	cluster pseudobulk ATAC unsorted tagAlign	syn52236932	syn52236866	syn29530512	all
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S1.qc.rna.hg38.barcode.metadata.tsv	230601_iPSC_art_ven_EC_10Xmultiome_S1.qc.rna.hg38.barcode.metadata.tsv	gene expression barcode metrics table	syn52119067	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S1
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S2.qc.rna.hg38.barcode.metadata.tsv	230601_iPSC_art_ven_EC_10Xmultiome_S2.qc.rna.hg38.barcode.metadata.tsv	gene expression barcode metrics table	syn52119779	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S2
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S1.hg38.rna.h5	230601_iPSC_art_ven_EC_10Xmultiome_S1.hg38.rna.h5	gene expression matrix .h5	syn52119777	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S1
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S2.hg38.rna.h5	230601_iPSC_art_ven_EC_10Xmultiome_S2.hg38.rna.h5	gene expression matrix .h5	syn52119128	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S2
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S1.raw.tar.gz	230601_iPSC_art_ven_EC_10Xmultiome_S1.raw.tar.gz	gene expression matrix TAR	syn52119124	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S1
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S2.raw.tar.gz	230601_iPSC_art_ven_EC_10Xmultiome_S2.raw.tar.gz	gene expression matrix TAR	syn52119125	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S2
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S1.Aligned.sortedByCoord.out.bam	230601_iPSC_art_ven_EC_10Xmultiome_S1.Aligned.sortedByCoord.out.bam	gene expression sorted BAM	syn52119136	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S1
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S2.Aligned.sortedByCoord.out.bam	230601_iPSC_art_ven_EC_10Xmultiome_S2.Aligned.sortedByCoord.out.bam	gene expression sorted BAM	syn52119164	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S2
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S1.joint.barcode.metadata.hg38.csv	230601_iPSC_art_ven_EC_10Xmultiome_S1.joint.barcode.metadata.hg38.csv	Multiome joint barcode metrics table	syn52119066	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S1
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S2.joint.barcode.metadata.hg38.csv	230601_iPSC_art_ven_EC_10Xmultiome_S2.joint.barcode.metadata.hg38.csv	Multiome joint barcode metrics table	syn52119865	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S2
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S1.html	230601_iPSC_art_ven_EC_10Xmultiome_S1.html	QC HTML	syn52119892	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S1
230601_iPSC_art_ven_EC_10Xmultiome	230601_iPSC_art_ven_EC_10Xmultiome_S2.html	230601_iPSC_art_ven_EC_10Xmultiome_S2.html	QC HTML	syn52119894	syn52118178	syn29530512	230601_iPSC_art_ven_EC_10Xmultiome_S2
Bridge_Satpathy	igvf_b01_LeftCortex_101.atac.qc.mm39.metadata.tsv	igvf_b01_LeftCortex_101.atac.qc.mm39.metadata.tsv	ATAC barcode metrics table	syn52120650	syn52118184	syn29530512	Bridge_Satpathy_101
Bridge_Satpathy	igvf_b01_LeftCortex_102.atac.qc.mm39.metadata.tsv	igvf_b01_LeftCortex_102.atac.qc.mm39.metadata.tsv	ATAC barcode metrics table	syn52120652	syn52118184	syn29530512	Bridge_Satpathy_102
Bridge_Satpathy	igvf_b01_LeftCortex_104.atac.qc.mm39.metadata.tsv	igvf_b01_LeftCortex_104.atac.qc.mm39.metadata.tsv	ATAC barcode metrics table	syn52120656	syn52118184	syn29530512	Bridge_Satpathy_104
Bridge_Satpathy	igvf_b01_LeftCortex_113.atac.qc.mm39.metadata.tsv	igvf_b01_LeftCortex_113.atac.qc.mm39.metadata.tsv	ATAC barcode metrics table	syn52120658	syn52118184	syn29530512	Bridge_Satpathy_113
Bridge_Satpathy	igvf_b01_LeftCortex_114.atac.qc.mm39.metadata.tsv	igvf_b01_LeftCortex_114.atac.qc.mm39.metadata.tsv	ATAC barcode metrics table	syn52120660	syn52118184	syn29530512	Bridge_Satpathy_114
Bridge_Satpathy	igvf_b01_LeftCortex_115.atac.qc.mm39.metadata.tsv	igvf_b01_LeftCortex_115.atac.qc.mm39.metadata.tsv	ATAC barcode metrics table	syn52120661	syn52118184	syn29530512	Bridge_Satpathy_115
Bridge_Satpathy	igvf_b01_LeftCortex_116.atac.qc.mm39.metadata.tsv	igvf_b01_LeftCortex_116.atac.qc.mm39.metadata.tsv	ATAC barcode metrics table	syn52120709	syn52118184	syn29530512	Bridge_Satpathy_116
Bridge_Satpathy	igvf_b01_LeftCortex_101.atac.filter.fragments.mm39.tsv.gz	igvf_b01_LeftCortex_101.atac.filter.fragments.mm39.tsv.gz	ATAC fragment file	syn52120317	syn52118184	syn29530512	Bridge_Satpathy_101
Bridge_Satpathy	igvf_b01_LeftCortex_102.atac.filter.fragments.mm39.tsv.gz	igvf_b01_LeftCortex_102.atac.filter.fragments.mm39.tsv.gz	ATAC fragment file	syn52120319	syn52118184	syn29530512	Bridge_Satpathy_102
Bridge_Satpathy	igvf_b01_LeftCortex_104.atac.filter.fragments.mm39.tsv.gz	igvf_b01_LeftCortex_104.atac.filter.fragments.mm39.tsv.gz	ATAC fragment file	syn52120576	syn52118184	syn29530512	Bridge_Satpathy_104
Bridge_Satpathy	igvf_b01_LeftCortex_113.atac.filter.fragments.mm39.tsv.gz	igvf_b01_LeftCortex_113.atac.filter.fragments.mm39.tsv.gz	ATAC fragment file	syn52120581	syn52118184	syn29530512	Bridge_Satpathy_113
Bridge_Satpathy	igvf_b01_LeftCortex_114.atac.filter.fragments.mm39.tsv.gz	igvf_b01_LeftCortex_114.atac.filter.fragments.mm39.tsv.gz	ATAC fragment file	syn52120583	syn52118184	syn29530512	Bridge_Satpathy_114
Bridge_Satpathy	igvf_b01_LeftCortex_115.atac.filter.fragments.mm39.tsv.gz	igvf_b01_LeftCortex_115.atac.filter.fragments.mm39.tsv.gz	ATAC fragment file	syn52120629	syn52118184	syn29530512	Bridge_Satpathy_115
Bridge_Satpathy	igvf_b01_LeftCortex_116.atac.filter.fragments.mm39.tsv.gz	igvf_b01_LeftCortex_116.atac.filter.fragments.mm39.tsv.gz	ATAC fragment file	syn52120640	syn52118184	syn29530512	Bridge_Satpathy_116
Bridge_Satpathy	igvf_b01_LeftCortex_101.atac.filter.fragments.mm39.tsv.gz.tbi	igvf_b01_LeftCortex_101.atac.filter.fragments.mm39.tsv.gz.tbi	ATAC fragment file Tabix index	syn52120314	syn52118184	syn29530512	Bridge_Satpathy_101
Bridge_Satpathy	igvf_b01_LeftCortex_102.atac.filter.fragments.mm39.tsv.gz.tbi	igvf_b01_LeftCortex_102.atac.filter.fragments.mm39.tsv.gz.tbi	ATAC fragment file Tabix index	syn52120381	syn52118184	syn29530512	Bridge_Satpathy_102
Bridge_Satpathy	igvf_b01_LeftCortex_104.atac.filter.fragments.mm39.tsv.gz.tbi	igvf_b01_LeftCortex_104.atac.filter.fragments.mm39.tsv.gz.tbi	ATAC fragment file Tabix index	syn52120574	syn52118184	syn29530512	Bridge_Satpathy_104
Bridge_Satpathy	igvf_b01_LeftCortex_113.atac.filter.fragments.mm39.tsv.gz.tbi	igvf_b01_LeftCortex_113.atac.filter.fragments.mm39.tsv.gz.tbi	ATAC fragment file Tabix index	syn52120579	syn52118184	syn29530512	Bridge_Satpathy_113
Bridge_Satpathy	igvf_b01_LeftCortex_114.atac.filter.fragments.mm39.tsv.gz.tbi	igvf_b01_LeftCortex_114.atac.filter.fragments.mm39.tsv.gz.tbi	ATAC fragment file Tabix index	syn52120582	syn52118184	syn29530512	Bridge_Satpathy_114
Bridge_Satpathy	igvf_b01_LeftCortex_115.atac.filter.fragments.mm39.tsv.gz.tbi	igvf_b01_LeftCortex_115.atac.filter.fragments.mm39.tsv.gz.tbi	ATAC fragment file Tabix index	syn52120628	syn52118184	syn29530512	Bridge_Satpathy_115
Bridge_Satpathy	igvf_b01_LeftCortex_116.atac.filter.fragments.mm39.tsv.gz.tbi	igvf_b01_LeftCortex_116.atac.filter.fragments.mm39.tsv.gz.tbi	ATAC fragment file Tabix index	syn52120635	syn52118184	syn29530512	Bridge_Satpathy_116
Bridge_Satpathy	igvf_b01_LeftCortex_101.qc.rna.mm39.barcode.metadata.tsv	igvf_b01_LeftCortex_101.qc.rna.mm39.barcode.metadata.tsv	gene expression barcode metrics table	syn52120651	syn52118184	syn29530512	Bridge_Satpathy_101
Bridge_Satpathy	igvf_b01_LeftCortex_102.qc.rna.mm39.barcode.metadata.tsv	igvf_b01_LeftCortex_102.qc.rna.mm39.barcode.metadata.tsv	gene expression barcode metrics table	syn52120653	syn52118184	syn29530512	Bridge_Satpathy_102
Bridge_Satpathy	igvf_b01_LeftCortex_104.qc.rna.mm39.barcode.metadata.tsv	igvf_b01_LeftCortex_104.qc.rna.mm39.barcode.metadata.tsv	gene expression barcode metrics table	syn52120654	syn52118184	syn29530512	Bridge_Satpathy_104
Bridge_Satpathy	igvf_b01_LeftCortex_113.qc.rna.mm39.barcode.metadata.tsv	igvf_b01_LeftCortex_113.qc.rna.mm39.barcode.metadata.tsv	gene expression barcode metrics table	syn52120657	syn52118184	syn29530512	Bridge_Satpathy_113
Bridge_Satpathy	igvf_b01_LeftCortex_114.qc.rna.mm39.barcode.metadata.tsv	igvf_b01_LeftCortex_114.qc.rna.mm39.barcode.metadata.tsv	gene expression barcode metrics table	syn52120659	syn52118184	syn29530512	Bridge_Satpathy_114
Bridge_Satpathy	igvf_b01_LeftCortex_115.qc.rna.mm39.barcode.metadata.tsv	igvf_b01_LeftCortex_115.qc.rna.mm39.barcode.metadata.tsv	gene expression barcode metrics table	syn52120603	syn52118184	syn29530512	Bridge_Satpathy_115
Bridge_Satpathy	igvf_b01_LeftCortex_116.qc.rna.mm39.barcode.metadata.tsv	igvf_b01_LeftCortex_116.qc.rna.mm39.barcode.metadata.tsv	gene expression barcode metrics table	syn52120708	syn52118184	syn29530512	Bridge_Satpathy_116
Bridge_Satpathy	igvf_b01_LeftCortex_101.mm39.rna.h5	igvf_b01_LeftCortex_101.mm39.rna.h5	gene expression matrix .h5	syn52120655	syn52118184	syn29530512	Bridge_Satpathy_101
Bridge_Satpathy	igvf_b01_LeftCortex_102.mm39.rna.h5	igvf_b01_LeftCortex_102.mm39.rna.h5	gene expression matrix .h5	syn52120389	syn52118184	syn29530512	Bridge_Satpathy_102
Bridge_Satpathy	igvf_b01_LeftCortex_104.mm39.rna.h5	igvf_b01_LeftCortex_104.mm39.rna.h5	gene expression matrix .h5	syn52120662	syn52118184	syn29530512	Bridge_Satpathy_104
Bridge_Satpathy	igvf_b01_LeftCortex_113.mm39.rna.h5	igvf_b01_LeftCortex_113.mm39.rna.h5	gene expression matrix .h5	syn52120663	syn52118184	syn29530512	Bridge_Satpathy_113
Bridge_Satpathy	igvf_b01_LeftCortex_114.mm39.rna.h5	igvf_b01_LeftCortex_114.mm39.rna.h5	gene expression matrix .h5	syn52120585	syn52118184	syn29530512	Bridge_Satpathy_114
Bridge_Satpathy	igvf_b01_LeftCortex_115.mm39.rna.h5	igvf_b01_LeftCortex_115.mm39.rna.h5	gene expression matrix .h5	syn52120634	syn52118184	syn29530512	Bridge_Satpathy_115
Bridge_Satpathy	igvf_b01_LeftCortex_116.mm39.rna.h5	igvf_b01_LeftCortex_116.mm39.rna.h5	gene expression matrix .h5	syn52120637	syn52118184	syn29530512	Bridge_Satpathy_116
Bridge_Satpathy	igvf_b01_LeftCortex_101.raw.tar.gz	igvf_b01_LeftCortex_101.raw.tar.gz	gene expression matrix TAR	syn52120315	syn52118184	syn29530512	Bridge_Satpathy_101
Bridge_Satpathy	igvf_b01_LeftCortex_102.raw.tar.gz	igvf_b01_LeftCortex_102.raw.tar.gz	gene expression matrix TAR	syn52120316	syn52118184	syn29530512	Bridge_Satpathy_102
Bridge_Satpathy	igvf_b01_LeftCortex_104.raw.tar.gz	igvf_b01_LeftCortex_104.raw.tar.gz	gene expression matrix TAR	syn52120560	syn52118184	syn29530512	Bridge_Satpathy_104
Bridge_Satpathy	igvf_b01_LeftCortex_113.raw.tar.gz	igvf_b01_LeftCortex_113.raw.tar.gz	gene expression matrix TAR	syn52120578	syn52118184	syn29530512	Bridge_Satpathy_113
Bridge_Satpathy	igvf_b01_LeftCortex_114.raw.tar.gz	igvf_b01_LeftCortex_114.raw.tar.gz	gene expression matrix TAR	syn52120580	syn52118184	syn29530512	Bridge_Satpathy_114
Bridge_Satpathy	igvf_b01_LeftCortex_115.raw.tar.gz	igvf_b01_LeftCortex_115.raw.tar.gz	gene expression matrix TAR	syn52120584	syn52118184	syn29530512	Bridge_Satpathy_115
Bridge_Satpathy	igvf_b01_LeftCortex_116.raw.tar.gz	igvf_b01_LeftCortex_116.raw.tar.gz	gene expression matrix TAR	syn52120631	syn52118184	syn29530512	Bridge_Satpathy_116
Bridge_Satpathy	igvf_b01_LeftCortex_101.Aligned.sortedByCoord.out.bam	igvf_b01_LeftCortex_101.Aligned.sortedByCoord.out.bam	gene expression sorted BAM	syn52120355	syn52118184	syn29530512	Bridge_Satpathy_101
Bridge_Satpathy	igvf_b01_LeftCortex_102.Aligned.sortedByCoord.out.bam	igvf_b01_LeftCortex_102.Aligned.sortedByCoord.out.bam	gene expression sorted BAM	syn52120559	syn52118184	syn29530512	Bridge_Satpathy_102
Bridge_Satpathy	igvf_b01_LeftCortex_104.Aligned.sortedByCoord.out.bam	igvf_b01_LeftCortex_104.Aligned.sortedByCoord.out.bam	gene expression sorted BAM	syn52120577	syn52118184	syn29530512	Bridge_Satpathy_104
Bridge_Satpathy	igvf_b01_LeftCortex_113.Aligned.sortedByCoord.out.bam	igvf_b01_LeftCortex_113.Aligned.sortedByCoord.out.bam	gene expression sorted BAM	syn52120599	syn52118184	syn29530512	Bridge_Satpathy_113
Bridge_Satpathy	igvf_b01_LeftCortex_114.Aligned.sortedByCoord.out.bam	igvf_b01_LeftCortex_114.Aligned.sortedByCoord.out.bam	gene expression sorted BAM	syn52120614	syn52118184	syn29530512	Bridge_Satpathy_114
Bridge_Satpathy	igvf_b01_LeftCortex_115.Aligned.sortedByCoord.out.bam	igvf_b01_LeftCortex_115.Aligned.sortedByCoord.out.bam	gene expression sorted BAM	syn52120627	syn52118184	syn29530512	Bridge_Satpathy_115
Bridge_Satpathy	igvf_b01_LeftCortex_116.Aligned.sortedByCoord.out.bam	igvf_b01_LeftCortex_116.Aligned.sortedByCoord.out.bam	gene expression sorted BAM	syn52120707	syn52118184	syn29530512	Bridge_Satpathy_116
Bridge_Satpathy	igvf_b01_LeftCortex_101.joint.barcode.metadata.mm39.csv	igvf_b01_LeftCortex_101.joint.barcode.metadata.mm39.csv	Multiome joint barcode metrics table	syn52120710	syn52118184	syn29530512	Bridge_Satpathy_101
Bridge_Satpathy	igvf_b01_LeftCortex_102.joint.barcode.metadata.mm39.csv	igvf_b01_LeftCortex_102.joint.barcode.metadata.mm39.csv	Multiome joint barcode metrics table	syn52120711	syn52118184	syn29530512	Bridge_Satpathy_102
Bridge_Satpathy	igvf_b01_LeftCortex_104.joint.barcode.metadata.mm39.csv	igvf_b01_LeftCortex_104.joint.barcode.metadata.mm39.csv	Multiome joint barcode metrics table	syn52120712	syn52118184	syn29530512	Bridge_Satpathy_104
Bridge_Satpathy	igvf_b01_LeftCortex_113.joint.barcode.metadata.mm39.csv	igvf_b01_LeftCortex_113.joint.barcode.metadata.mm39.csv	Multiome joint barcode metrics table	syn52120713	syn52118184	syn29530512	Bridge_Satpathy_113
Bridge_Satpathy	igvf_b01_LeftCortex_114.joint.barcode.metadata.mm39.csv	igvf_b01_LeftCortex_114.joint.barcode.metadata.mm39.csv	Multiome joint barcode metrics table	syn52120714	syn52118184	syn29530512	Bridge_Satpathy_114
Bridge_Satpathy	igvf_b01_LeftCortex_115.joint.barcode.metadata.mm39.csv	igvf_b01_LeftCortex_115.joint.barcode.metadata.mm39.csv	Multiome joint barcode metrics table	syn52120716	syn52118184	syn29530512	Bridge_Satpathy_115
Bridge_Satpathy	igvf_b01_LeftCortex_116.joint.barcode.metadata.mm39.csv	igvf_b01_LeftCortex_116.joint.barcode.metadata.mm39.csv	Multiome joint barcode metrics table	syn52120717	syn52118184	syn29530512	Bridge_Satpathy_116
Bridge_Satpathy	igvf_b01_LeftCortex_101.html	igvf_b01_LeftCortex_101.html	QC HTML	syn52120715	syn52118184	syn29530512	Bridge_Satpathy_101
Bridge_Satpathy	igvf_b01_LeftCortex_102.html	igvf_b01_LeftCortex_102.html	QC HTML	syn52120718	syn52118184	syn29530512	Bridge_Satpathy_102
Bridge_Satpathy	igvf_b01_LeftCortex_104.html	igvf_b01_LeftCortex_104.html	QC HTML	syn52120719	syn52118184	syn29530512	Bridge_Satpathy_104
Bridge_Satpathy	igvf_b01_LeftCortex_113.html	igvf_b01_LeftCortex_113.html	QC HTML	syn52120721	syn52118184	syn29530512	Bridge_Satpathy_113
Bridge_Satpathy	igvf_b01_LeftCortex_114.html	igvf_b01_LeftCortex_114.html	QC HTML	syn52120720	syn52118184	syn29530512	Bridge_Satpathy_114
Bridge_Satpathy	igvf_b01_LeftCortex_115.html	igvf_b01_LeftCortex_115.html	QC HTML	syn52120722	syn52118184	syn29530512	Bridge_Satpathy_115
Bridge_Satpathy	igvf_b01_LeftCortex_116.html	igvf_b01_LeftCortex_116.html	QC HTML	syn52120723	syn52118184	syn29530512	Bridge_Satpathy_116
CharacterizationMcGinnis_Dataset0	CharacterizationMcGinnis_Dataset0.atac.qc.hg38.metadata.tsv	CharacterizationMcGinnis_Dataset0.atac.qc.hg38.metadata.tsv	ATAC barcode metrics table	syn52119782	syn52118178	syn29530512	CharacterizationMcGinnis_Dataset0
CharacterizationMcGinnis_Dataset0	CharacterizationMcGinnis_Dataset0.atac.filter.fragments.hg38.tsv.gz	CharacterizationMcGinnis_Dataset0.atac.filter.fragments.hg38.tsv.gz	ATAC fragment file	syn52119141	syn52118178	syn29530512	CharacterizationMcGinnis_Dataset0
CharacterizationMcGinnis_Dataset0	CharacterizationMcGinnis_Dataset0.atac.filter.fragments.hg38.tsv.gz.tbi	CharacterizationMcGinnis_Dataset0.atac.filter.fragments.hg38.tsv.gz.tbi	ATAC fragment file Tabix index	syn52119163	syn52118178	syn29530512	CharacterizationMcGinnis_Dataset0
CharacterizationMcGinnis_Dataset0	CharacterizationMcGinnis_Dataset0.qc.rna.hg38.barcode.metadata.tsv	CharacterizationMcGinnis_Dataset0.qc.rna.hg38.barcode.metadata.tsv	gene expression barcode metrics table	syn52119780	syn52118178	syn29530512	CharacterizationMcGinnis_Dataset0
CharacterizationMcGinnis_Dataset0	CharacterizationMcGinnis_Dataset0.hg38.rna.h5	CharacterizationMcGinnis_Dataset0.hg38.rna.h5	gene expression matrix .h5	syn52119170	syn52118178	syn29530512	CharacterizationMcGinnis_Dataset0
CharacterizationMcGinnis_Dataset0	CharacterizationMcGinnis_Dataset0.raw.tar.gz	CharacterizationMcGinnis_Dataset0.raw.tar.gz	gene expression matrix TAR	syn52119130	syn52118178	syn29530512	CharacterizationMcGinnis_Dataset0
CharacterizationMcGinnis_Dataset0	CharacterizationMcGinnis_Dataset0.Aligned.sortedByCoord.out.bam	CharacterizationMcGinnis_Dataset0.Aligned.sortedByCoord.out.bam	gene expression sorted BAM	syn52119169	syn52118178	syn29530512	CharacterizationMcGinnis_Dataset0
CharacterizationMcGinnis_Dataset0	CharacterizationMcGinnis_Dataset0.joint.barcode.metadata.hg38.csv	CharacterizationMcGinnis_Dataset0.joint.barcode.metadata.hg38.csv	Multiome joint barcode metrics table	syn52119867	syn52118178	syn29530512	CharacterizationMcGinnis_Dataset0
CharacterizationMcGinnis_Dataset0	CharacterizationMcGinnis_Dataset0.html	CharacterizationMcGinnis_Dataset0.html	QC HTML	syn52119893	syn52118178	syn29530512	CharacterizationMcGinnis_Dataset0
