"DatasetID" "CellClusterID" "ManualAnnotationLabel" "nCells" "MeanRNAUMIsPerCell" "MeanATACFragmentsPerCell" "ATACtagAlignUnsorted" "ATACtagAlignSorted" "ATACtagAlignSortedIndex"
"18" "ENCSR052DKH" "ENCSR052DKH_Cluster1" "Tuft_cell" 246 "()" 4724 "syn52186029" "syn52237042" "syn52237016"
"19" "ENCSR052DKH" "ENCSR052DKH_Cluster2" "Macrophage" 361 "()" 6132 "syn52186070" "syn52237061" "syn52237062"
"20" "ENCSR052DKH" "ENCSR052DKH_Cluster3" "T_lymphocyte" 198 "()" 6136 "syn52187558" "syn52237050" "syn52237051"
"21" "ENCSR052DKH" "ENCSR052DKH_Cluster4" "Vascular_smooth_muscle_cell" 1243 "()" 7179 "syn52187733" "syn52237058" "syn52237059"
"22" "ENCSR181XXQ" "ENCSR181XXQ_Cluster1" "Adipocyte" 541 "()" 3016 "syn52187471" "" ""
"23" "ENCSR181XXQ" "ENCSR181XXQ_Cluster2" "Vascular_smooth_muscle_cell" 732 "()" 2448 "syn52187479" "" ""
"24" "ENCSR181XXQ" "ENCSR181XXQ_Cluster3" "Endothelial_cell" 527 "()" 2283 "syn52187485" "" ""
"25" "ENCSR181XXQ" "ENCSR181XXQ_Cluster4" "Mesothelial_cell" 872 "()" 2532 "syn52187496" "" ""
"26" "ENCSR205TUH" "ENCSR205TUH_Cluster1" "Vascular_smooth_muscle_cell" 1986 "()" 2582 "syn52186305" "syn52249557" "syn52249558"
"27" "ENCSR205TUH" "ENCSR205TUH_Cluster2" "Schwann_cell" 535 "()" 2370 "syn52186309" "syn52249553" "syn52249554"
"28" "ENCSR261TQO" "ENCSR261TQO_Cluster1" "Endothelial_cell" 286 "()" 3320 "syn52187311" "" ""
"29" "ENCSR261TQO" "ENCSR261TQO_Cluster2" "Enteroendocrine_cell" 183 "()" 4624 "syn52187324" "" ""
"30" "ENCSR261TQO" "ENCSR261TQO_Cluster3" "Ductal_cell" 529 "()" 3741 "syn52187345" "" ""
"31" "ENCSR261TQO" "ENCSR261TQO_Cluster4" "T_lymphocyte" 453 "()" 2368 "syn52187350" "" ""
"32" "ENCSR261TQO" "ENCSR261TQO_Cluster5" "Macrophage" 950 "()" 3111 "syn52187358" "" ""
"33" "ENCSR261TQO" "ENCSR261TQO_Cluster6" "Acinar_cell" 5306 "()" 4063 "syn52187454" "" ""
"34" "ENCSR302CMX" "ENCSR302CMX_Cluster1" "Fibroblast" 1320 "()" 4002 "syn52188032" "" ""
"35" "ENCSR302CMX" "ENCSR302CMX_Cluster2" "Vascular_smooth_muscle_cell" 2283 "()" 3090 "syn52188584" "" ""
"36" "ENCSR302CMX" "ENCSR302CMX_Cluster3" "Smooth_muscle_cell" 131 "()" 3222 "syn52188605" "" ""
"37" "ENCSR302CMX" "ENCSR302CMX_Cluster4" "Endothelial_cell" 550 "()" 2845 "syn52188616" "" ""
"38" "ENCSR367GKP" "ENCSR367GKP_Cluster1" "Fibroblast" 1861 "()" 3827 "syn52186106" "syn52249519" "syn52249520"
"39" "ENCSR367GKP" "ENCSR367GKP_Cluster2" "Schwann_cell" 618 "()" 2788 "syn52186111" "syn52249529" "syn52249530"
"40" "ENCSR367GKP" "ENCSR367GKP_Cluster3" "Smooth_muscle_cell" 853 "()" 3006 "syn52186149" "syn52249523" "syn52249522"
"41" "ENCSR367GKP" "ENCSR367GKP_Cluster4" "Vascular_smooth_muscle_cell" 4632 "()" 4793 "syn52186241" "syn52249547" "syn52249548"
"42" "ENCSR367GKP" "ENCSR367GKP_Cluster5" "Macrophage" 343 "()" 2844 "syn52186256" "syn52249551" "syn52249550"
"43" "ENCSR397LYX" "ENCSR397LYX_Cluster1" "Vascular_smooth_muscle_cell" 927 "()" 2949 "syn52186076" "syn52248911" "syn52248912"
"44" "ENCSR397LYX" "ENCSR397LYX_Cluster2" "Endothelial_cell" 618 "()" 2640 "syn52186078" "syn52248904" "syn52248903"
"45" "ENCSR397LYX" "ENCSR397LYX_Cluster3" "Basal_epithelial_cell" 1149 "()" 2854 "syn52186083" "syn52248907" "syn52248908"
"46" "ENCSR411MLR" "ENCSR411MLR_Cluster1" "Macrophage" 760 "()" 3877 "syn52186776" "" ""
"47" "ENCSR411MLR" "ENCSR411MLR_Cluster2" "T_lymphocyte" 342 "()" 3003 "syn52186777" "" ""
"48" "ENCSR411MLR" "ENCSR411MLR_Cluster3" "Vascular_smooth_muscle_cell.1" 282 "()" 3857 "syn52186778" "" ""
"49" "ENCSR411MLR" "ENCSR411MLR_Cluster4" "Endothelial_cell" 325 "()" 3990 "syn52186779" "" ""
"50" "ENCSR411MLR" "ENCSR411MLR_Cluster5" "Vascular_smooth_muscle_cell.2" 6664 "()" 5472 "syn52187034" "" ""
"51" "ENCSR453TVZ" "ENCSR453TVZ_Cluster1" "Basal_epithelial_cell.1" 213 "()" 6036 "syn52187519" "" ""
"52" "ENCSR453TVZ" "ENCSR453TVZ_Cluster2" "Basal_epithelial_cell.2" 1466 "()" 4310 "syn52187556" "" ""
"53" "ENCSR453TVZ" "ENCSR453TVZ_Cluster3" "Basal_epithelial_cell.3" 1511 "()" 6642 "syn52187741" "" ""
"54" "ENCSR453TVZ" "ENCSR453TVZ_Cluster4" "T_lymphocyte" 3001 "()" 3174 "syn52188365" "" ""
"55" "ENCSR455CVZ" "ENCSR455CVZ_Cluster1" "Endothelial_cell" 320 "()" 4708 "syn52187781" "" ""
"56" "ENCSR455CVZ" "ENCSR455CVZ_Cluster2" "Vascular_smooth_muscle_cell" 847 "()" 3752 "syn52187909" "" ""
"57" "ENCSR474TGL" "ENCSR474TGL_Cluster1" "Endothelial_cell" 677 "()" 2973 "syn52188947" "" ""
"58" "ENCSR474TGL" "ENCSR474TGL_Cluster2" "Fibroblast" 1771 "()" 2901 "syn52189082" "" ""
"59" "ENCSR474TGL" "ENCSR474TGL_Cluster3" "Basal_epithelial_cell" 985 "()" 3425 "syn52189149" "" ""
"60" "ENCSR474TGL" "ENCSR474TGL_Cluster4" "Macrophage" 592 "()" 2509 "syn52189188" "" ""
"61" "ENCSR506YMX" "ENCSR506YMX_Cluster1" "Luminal_epithelial_cell" 2053 "()" 4021 "syn52186640" "syn52249609" "syn52249610"
"62" "ENCSR506YMX" "ENCSR506YMX_Cluster2" "Vascular_smooth_muscle_cell" 1839 "()" 4337 "syn52186715" "" ""
"63" "ENCSR506YMX" "ENCSR506YMX_Cluster3" "Tuft_cell" 2273 "()" 3596 "syn52186726" "" ""
"64" "ENCSR506YMX" "ENCSR506YMX_Cluster4" "Goblet_cell" 705 "()" 3696 "syn52186729" "" ""
"65" "ENCSR506YMX" "ENCSR506YMX_Cluster5" "T_lymphocyte" 554 "()" 2423 "syn52186735" "syn52249607" "syn52249605"
"66" "ENCSR538FPK" "ENCSR538FPK_Cluster1" "Fibroblast" 2134 "()" 5159 "syn52190193" "" ""
"67" "ENCSR538FPK" "ENCSR538FPK_Cluster2" "Endothelial_cell" 1233 "()" 3259 "syn52190978" "" ""
"68" "ENCSR538FPK" "ENCSR538FPK_Cluster3" "T_lymphocyte" 170 "()" 2832 "syn52190992" "" ""
"69" "ENCSR538FPK" "ENCSR538FPK_Cluster4" "Smooth_muscle_cell" 1181 "()" 3881 "syn52191248" "" ""
"70" "ENCSR538FPK" "ENCSR538FPK_Cluster5" "Macrophage" 997 "()" 3683 "syn52191303" "" ""
"71" "ENCSR538FPK" "ENCSR538FPK_Cluster6" "Cardiomyocyte" 2530 "()" 11893 "syn52191664" "" ""
"72" "ENCSR660NEE" "ENCSR660NEE_Cluster1" "Fibroblast" 2444 "()" 6532 "syn52187139" "" ""
"73" "ENCSR660NEE" "ENCSR660NEE_Cluster2" "Vascular_smooth_muscle_cell" 2867 "()" 5463 "syn52187209" "" ""
"74" "ENCSR660NEE" "ENCSR660NEE_Cluster3" "Mast_cell" 661 "()" 4114 "syn52187215" "" ""
"75" "ENCSR660NEE" "ENCSR660NEE_Cluster4" "Schwann_cell" 578 "()" 5700 "syn52187237" "" ""
"76" "ENCSR660NEE" "ENCSR660NEE_Cluster5" "Endothelial_cell" 376 "()" 4340 "syn52187255" "" ""
"77" "ENCSR660NEE" "ENCSR660NEE_Cluster6" "Macrophage" 607 "()" 4934 "syn52187285" "" ""
"78" "ENCSR660NEE" "ENCSR660NEE_Cluster7" "T_lymphocyte" 416 "()" 3741 "syn52187291" "" ""
"79" "ENCSR660NEE" "ENCSR660NEE_Cluster8" "Smooth_muscle_cell" 534 "()" 5779 "syn52187304" "" ""
"80" "ENCSR718WGE" "ENCSR718WGE_Cluster1" "Type_II_pneumocyte" 3166 "()" 4061 "syn52191067" "" ""
"81" "ENCSR718WGE" "ENCSR718WGE_Cluster2" "Macrophage" 1797 "()" 4578 "syn52191306" "" ""
"82" "ENCSR718WGE" "ENCSR718WGE_Cluster3" "Endothelial_cell" 550 "()" 7026 "syn52191513" "" ""
"83" "ENCSR718WGE" "ENCSR718WGE_Cluster4" "T_lymphocyte" 1199 "()" 3552 "syn52191528" "" ""
"84" "ENCSR776EOI" "ENCSR776EOI_Cluster1" "Fibroblast" 1877 "()" 3736 "syn52190881" "" ""
"85" "ENCSR776EOI" "ENCSR776EOI_Cluster2" "Macrophage" 1181 "()" 2919 "syn52190973" "" ""
"86" "ENCSR776EOI" "ENCSR776EOI_Cluster3" "Cardiomyocyte" 712 "()" 3938 "syn52190998" "" ""
"87" "ENCSR776EOI" "ENCSR776EOI_Cluster4" "Mesothelial_cell" 877 "()" 6098 "syn52191280" "" ""
"88" "ENCSR796RXX" "ENCSR796RXX_Cluster1" "Follicular_cell" 8102 "()" 5393 "syn52189910" "" ""
"89" "ENCSR796RXX" "ENCSR796RXX_Cluster2" "Fibroblast" 297 "()" 4138 "syn52189927" "" ""
"90" "ENCSR796RXX" "ENCSR796RXX_Cluster3" "Endothelial_cell" 335 "()" 3720 "syn52189938" "" ""
"91" "ENCSR822GXQ" "ENCSR822GXQ_Cluster1" "Endothelial_cell" 360 "()" 5752 "syn52187739" "" ""
"92" "ENCSR822GXQ" "ENCSR822GXQ_Cluster2" "T_lymphocyte" 164 "()" 3329 "syn52187742" "" ""
"93" "ENCSR822GXQ" "ENCSR822GXQ_Cluster3" "Macrophage" 471 "()" 4606 "syn52187832" "" ""
"94" "ENCSR822GXQ" "ENCSR822GXQ_Cluster4" "Vascular_smooth_muscle_cell" 4247 "()" 7137 "syn52190735" "" ""
"95" "ENCSR822GXQ" "ENCSR822GXQ_Cluster5" "Basal_epithelial_cell" 474 "()" 5122 "syn52190749" "" ""
"96" "ENCSR822GXQ" "ENCSR822GXQ_Cluster6" "Fibroblast" 742 "()" 6890 "syn52190974" "" ""
"97" "ENCSR845QFX" "ENCSR845QFX_Cluster1" "Endothelial_cell" 426 "()" 3790 "syn52188629" "" ""
"98" "ENCSR845QFX" "ENCSR845QFX_Cluster2" "Luminal_epithelial_cell.1" 1458 "()" 5927 "syn52188689" "" ""
"99" "ENCSR845QFX" "ENCSR845QFX_Cluster3" "Luminal_epithelial_cell.2" 1341 "()" 6587 "syn52188706" "" ""
"100" "ENCSR845QFX" "ENCSR845QFX_Cluster4" "Luminal_epithelial_cell.3" 446 "()" 4659 "syn52188709" "" ""
"101" "ENCSR845QFX" "ENCSR845QFX_Cluster5" "Fibroblast" 451 "()" 5087 "syn52188713" "" ""
"102" "ENCSR845QFX" "ENCSR845QFX_Cluster6" "Vascular_smooth_muscle_cell" 3784 "()" 4889 "syn52189132" "" ""
"103" "ENCSR848EID" "ENCSR848EID_Cluster1" "Gastric_chief_cell" 890 "()" 3162 "syn52187039" "" ""
"104" "ENCSR848EID" "ENCSR848EID_Cluster2" "Macrophage" 187 "()" 2682 "syn52187041" "" ""
"105" "ENCSR848EID" "ENCSR848EID_Cluster3" "Luminal_epithelial_cell" 164 "()" 2594 "syn52187042" "" ""
"106" "ENCSR848EID" "ENCSR848EID_Cluster4" "T_lymphocyte" 638 "()" 2874 "syn52187047" "" ""
"107" "ENCSR848EID" "ENCSR848EID_Cluster5" "Fibroblast" 822 "()" 3205 "syn52187050" "" ""
"108" "ENCSR868ZEI" "ENCSR868ZEI_Cluster1" "Mast_cell" 172 "()" 4334 "syn52186312" "syn52249565" "syn52249564"
"109" "ENCSR868ZEI" "ENCSR868ZEI_Cluster2" "T_lymphocyte" 182 "()" 4019 "syn52186316" "syn52249579" "syn52249580"
"110" "ENCSR868ZEI" "ENCSR868ZEI_Cluster3" "Macrophage" 563 "()" 6340 "syn52186349" "syn52249597" "syn52249595"
"111" "ENCSR868ZEI" "ENCSR868ZEI_Cluster4" "Vascular_smooth_muscle_cell" 1596 "()" 7859 "syn52186397" "syn52249603" "syn52249599"
"112" "ENCSR868ZEI" "ENCSR868ZEI_Cluster5" "Endothelial_cell" 636 "()" 7340 "syn52186420" "syn52249567" "syn52249568"
"113" "ENCSR868ZEI" "ENCSR868ZEI_Cluster6" "Schwann_cell" 324 "()" 5528 "syn52186421" "syn52249575" "syn52249577"
"114" "ENCSR868ZEI" "ENCSR868ZEI_Cluster7" "Myofibroblast" 78 "()" 7270 "syn52186422" "syn52249570" "syn52249571"
"115" "ENCSR868ZEI" "ENCSR868ZEI_Cluster8" "Fibroblast" 3326 "()" 8626 "syn52186564" "syn52249592" "syn52249593"
"116" "ENCSR868ZEI" "ENCSR868ZEI_Cluster9" "Smooth_muscle_cell" 464 "()" 6569 "syn52186568" "syn52249561" "syn52249562"
