DatasetID	DatasetName	ContactNominatedBy	Rationale	Assay	Seqspec	Biosample	BiosampleOntologyTerm	Species	FASTQOriginalLink	FASTQSynID	Publication	JamboreeTeam	ContactDataCurationAndAlignment	ContactDataFilteringQC	ProcessedDataSynID
ENCSR987PQH	ENCODE_ENCSR188XNY	Salil Deshpande	For training sequence models and scoring variants associated with heart disease	10x Multiome	[add]	"adult heart, left ventricle, healthy male"	https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0002084	Human	https://www.encodeproject.org/experiments/ENCSR987PQH/		Unpublished ENCODE	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR052DKH	ENTEx_Peyer's_patch_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens Peyer's patch tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR052DKH/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR411MLR	ENTEx_ascending_aorta_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens ascending aorta tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR411MLR/	https://www.encodeproject.org/experiments/ENCSR411MLR/	ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR261TQO	ENTEx_body_of_pancreas_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens body of pancreas tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR261TQO/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR845QFX	ENTEx_breast_epithelium_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens breast epithelium tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR845QFX/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR660NEE	ENTEx_esophagus_muscularis_mucosa_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens esophagus muscularis mucosa tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR660NEE/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR453TVZ	ENTEx_esophagus_squamous_epithelium_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens esophagus squamous epithelium tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR453TVZ/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR023FME	ENTEx_gastrocnemius_medialis_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens gastrocnemius medialis tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR023FME/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR868ZEI	ENTEx_gastroesophageal_sphincter_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens gastroesophageal sphincter tissue male adult (54 years)		Human	https://www.encodeproject.org/experiments/ENCSR868ZEI/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR538FPK	ENTEx_heart_left_ventricle_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens heart left ventricle tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR538FPK/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR474TGL	ENTEx_lower_leg_skin_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens lower leg skin tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR474TGL/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR181XXQ	ENTEx_omental_fat_pad_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens omental fat pad tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR181XXQ/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR776EOI	ENTEx_right_atrium_auricular_region_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens right atrium auricular region tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR776EOI/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR367GKP	ENTEx_sigmoid_colon_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens sigmoid colon tissue male adult (37 years)		Human	https://www.encodeproject.org/experiments/ENCSR367GKP/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR848EID	ENTEx_stomach_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens stomach tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR848EID/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR397LYX	ENTEx_suprapubic_skin_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens suprapubic skin tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR397LYX/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR822GXQ	ENTEx_thoracic_aorta_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens thoracic aorta tissue male adult (54 years)		Human	https://www.encodeproject.org/experiments/ENCSR822GXQ/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR796RXX	ENTEx_thyroid_gland_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens thyroid gland tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR796RXX/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR302CMX	ENTEx_tibial_artery_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens tibial artery tissue male adult (54 years)		Human	https://www.encodeproject.org/experiments/ENCSR302CMX/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR205TUH	ENTEx_tibial_nerve_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens tibial nerve tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR205TUH/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR506YMX	ENTEx_transverse_colon_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens transverse colon tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR506YMX/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR718WGE	ENTEx_upper_lobe_of_left_lung_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens upper lobe of left lung tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR718WGE/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCSR455CVZ	ENTEx_uterus_snATAC-seq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	sciATAC-seq		Homo sapiens uterus tissue female adult (51 years)		Human	https://www.encodeproject.org/experiments/ENCSR455CVZ/		ENTEx	3	"Austin Wang, Andreas Gschwind, Anthony Tan"	"Austin Wang, Eila Arich-Landkof"	syn52118179
ENCODE_K562_10X_scATACseq	ENCODE_K562_10X_scATACseq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	10x snATAC		K562 cell line nuclear fraction		Human	https://www.encodeproject.org/experiments/ENCSR217VXJ/		Unpublished ENCODE	4	"Vrishank Chandrasekhar, Boyang Zhang, Austin Wang"	Tanjin Sharma	syn52118180
ENCODE_GM12878_10X_scATACseq	ENCODE_GM12878_10X_scATACseq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	10x snATAC		GM12878 nuclear fraction		Human	https://www.encodeproject.org/experiments/ENCSR680NPV/		Unpublished ENCODE	4	"Vrishank Chandrasekhar, Boyang Zhang, Austin Wang"	Tanjin Sharma	syn52118180
ENCODE-Liver-10XMultiome	ENCODE-Liver-10XMultiome	Jesse Engreitz	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.), plus lipids collaborative project"	10x Multiome		Homo sapiens left lobe of liver tissue nuclear fraction male adult (45 years)		Human	"ENCSR139ATR for snATAC, ENCSR369UFT for scRNA"		Unpublished ENCODE	5	"Ronghao Zhou, Austin Wang"	Tanjin Sharma	syn52118181
ENCODE-HCT116-10XsnATAC	ENCODE-HCT116-10XsnATAC	Jesse Engreitz	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	10X snATAC		HCT116 https://www.encodeproject.org/experiments/ENCSR058GOM/		Human	https://www.encodeproject.org/experiments/ENCSR058GOM/		Unpublished ENCODE	5	"Ronghao Zhou, Austin Wang"	Tanjin Sharma	syn52118181
clint-miller_human_coronary-artery_scatac	clint-miller_human_coronary-artery_scatac	Soumya Kundu	For training sequence models and scoring variants associated with CAD	10x snATAC	TBD	scATAC-seq in coronary arteries from 41 patients across a range of atherosclerosis stages		Human	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE175621	GSE175621	https://www.nature.com/articles/s41588-022-01069-0	6	"Adam Klie, Tulika Kakati, Revathy Venukuttan, Eila Arich-Landkof, Jesse Engreitz"	Tulika Kakati	syn52118183
K562_10XMultiome_Xu2022	K562_10XMultiome_Xu2022	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	10x Multiome		K562 cell line		Human	"ATAC_I2: ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR984/ERR9847049/K562_10x_Multiome_ATAC_S1_L001_I2_001.fastq.gz, ATAC_R1: ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR984/ERR9847049/K562_10x_Multiome_ATAC_S1_L001_R1_001.fastq.gz, ATAC_R2: ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR984/ERR9847049/K562_10x_Multiome_ATAC_S1_L001_R2_001.fastq.gz, RNA_R1: ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR984/ERR9847050/K562_10x_Multiome_RNA_S1_L001_R1_001.fastq.gz, RNA_CellBarcode (R2): ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR984/ERR9847050/K562_10x_Multiome_RNA_S1_L001_R2_001.fastq.gz"	ERR984	https://www.nature.com/articles/s41592-022-01601-4#Sec8	6	"Adam Klie, Tulika Kakati, Revathy Venukuttan, Eila Arich-Landkof, Jesse Engreitz"	Tulika Kakati	syn52118183
GM12878_10XMultiome	GM12878_10XMultiome	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	10x Multiome		GM12878 cell line		Human	https://www.synapse.org/#!Synapse:syn51753879		https://www.nature.com/articles/s41592-022-01461-y	6	"Adam Klie, Tulika Kakati, Revathy Venukuttan, Eila Arich-Landkof, Jesse Engreitz"	Revathy Venukuttan	syn52118183
GerminalCenter10X	GerminalCenter10X	Jesse Engreitz	Useful for GWAS for immune diseases	10X snATAC		10X scATAC in tonsilar germinal center immune cells		Human		GSE165860	https://www.science.org/doi/10.1126/sciimmunol.abh3768	6	"Adam Klie, Tulika Kakati, Revathy Venukuttan, Eila Arich-Landkof, Jesse Engreitz"	Revathy Venukuttan	syn52118183
BrainAlzheimer10XMultiome	BrainAlzheimer10XMultiome	Andrew Marderstein	no human brain multiome for neuro traits	10x Multiome		"single nucleus multiomics (snRNA-seq + snATAC-seq) on 105,332 nuclei isolated from cortical tissues from 7 AD and 8 unaffected donors"		Human	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214637	GSE214637	https://www.cell.com/cell-genomics/pdf/S2666-979X(23)00019-8.pdf	6	"Adam Klie, Tulika Kakati, Revathy Venukuttan, Eila Arich-Landkof, Jesse Engreitz"	Andrew Marderstein	syn52118183
HealthyBrainAdult_snATAC	HealthyBrainAdult_snATAC	Andrew Marderstein	good adult brain scATAC for neuro traits for prediction models	snATAC		"Single-cell chromatin accessibility profiling of 70,631 cells from six brain regions"		Human	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE147672	GSE147672	https://pubmed.ncbi.nlm.nih.gov/33106633/	6	"Adam Klie, Tulika Kakati, Revathy Venukuttan, Eila Arich-Landkof, Jesse Engreitz"	Andrew Marderstein	syn52118183
igvf_b01_LeftCortex	igvf_b01_LeftCortex	"Diane Trout, Elisabeth Rebboah (Mortizavi grant)"	Samples were produced with the intent of being used for IGVF comparisons	Parse SplitSeq	Preliminary https://github.com/detrout/seqspec/tree/parse-wt/assays/parse-wt	10 week old C57Bl/6 and Castaneus left cerebral cortex samples	https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0000956	Mouse	https://www.synapse.org/#!Synapse:syn51669616	syn51669616	Unpublished IGVF	7	"Diane Trout, Liz Rebboah"	"Diane Trout, Liz Rebboah"	syn52118184
Bridge_Satpathy	Bridge_Satpathy	"Chris McGinnis, Ryan Corces, Ali Mortazavi"	Bridge sample	10x Multiome	https://github.com/detrout/seqspec/tree/parse-wt/assays/10x-RNA-ATAC	Brain cortex from 7 mice (Mortazavi)		Mouse	https://www.synapse.org/#!Synapse:syn51704242	syn51704242	Unpublished IGVF	7	"Diane Trout, Liz Rebboah"	"Diane Trout, Liz Rebboah"	syn52118184
GM12878_SHAREseq	GM12878_SHAREseq	Andreas Gschwind	"Benchmarking for Noncoding Variants FG model-building (enhancer-gene, GWAS prioritization, etc.)"	SHARE-seq		GM12878 cell line		Human	https://www.synapse.org/#!Synapse:syn51753880		https://www.sciencedirect.com/science/article/pii/S0092867420312538	8			
EB_Day6_EMR	EB_Day6_EMR	Eyal Metzl-Raz	Spontaneous differentiation of hiPSCs in EBs	SHARE-seq	https://github.com/IGVF/seqspec/blob/main/specs/SHARE-seq/spec.yaml	"WTC11 differentiation to Embryoid Bodies, Day 6"		Human	https://www.synapse.org/#!Synapse:syn51703398	syn51703398	Unpublished Greenleaf Lab	8			
Ma2020_BMMC_SingleDonor	Ma2020_BMMC_SingleDonor	Eugenio Mattei	Example dataset for jamboree Single-Cell FG	SHARE-seq	https://www.synapse.org/#!Synapse:syn51426057	bone marrow mononuclear cells	https://www.ebi.ac.uk/ols/ontologies/efo/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCL_0002092	Human	https://www.synapse.org/#!Synapse:syn50944986	syn50944986	https://doi.org/10.1016/j.cell.2020.09.056	8	"Sid Wekhande, Eugenio Mattei"	Sid Wekhande	syn52118187
Lupus_EUR-AFR	Lupus_EUR-AFR	Wang Xi		sciATAC+scRNA	https://www.synapse.org/#!Synapse:syn38984091	PBMC of lupus patients and healthy donors from european and african ancestries		Human			NA	N/A			
CharacterizationMcGinnis_Dataset7_mouse	CharacterizationMcGinnis_Dataset7	"Chris McGinnis, Jay Shendure"	"Profiling of Characterization + 
Networks Biosamples collaborative project"	MULTI-seq	https://www.synapse.org/#!Synapse:syn51704970	WD44 gastruloid differentiation (Shendure)	"http://www.ebi.ac.uk/efo/EFO_0002076
http://purl.obolibrary.org/obo/UBERON_0001621"	Mouse	https://www.synapse.org/#!Synapse:syn51941729	syn51941729	Unpublished IGVF	1	"Tanjin Sharma, Chris McGinnis"	Chris McGinnis	syn52118178
CharacterizationMcGinnis_Dataset7_human	CharacterizationMcGinnis_Dataset7	"Chris McGinnis, Tom Quertermous"	"Profiling of Characterization + 
Networks Biosamples collaborative project"	MULTI-seq	https://www.synapse.org/#!Synapse:syn51704970	"hCASM, 5 conditions (Quertermous)"	"http://www.ebi.ac.uk/efo/EFO_0002076
http://purl.obolibrary.org/obo/UBERON_0001621"	Human	https://www.synapse.org/#!Synapse:syn51941729	syn51941729	Unpublished IGVF	1	"Tanjin Sharma, Chris McGinnis"	Chris McGinnis	syn52118178
CharacterizationMcGinnis_Dataset9	CharacterizationMcGinnis_Dataset9	"Chris McGinnis, Harinder Singh"	"Profiling of Characterization + 
Networks Biosamples collaborative project"	MULTI-seq	https://www.synapse.org/#!Synapse:syn51704970	Primary B-cell in vitro differentiation	http://purl.obolibrary.org/obo/CL_0000236	Human	https://www.synapse.org/#!Synapse:syn51941730	syn51941730	Unpublished IGVF	1	"Tanjin Sharma, Chris McGinnis"	Chris McGinnis	syn52118178
CharacterizationMcGinnis_Dataset10	CharacterizationMcGinnis_Dataset10	"Chris McGinnis, Jesse Engreitz"	"Profiling of Characterization + 
Networks Biosamples collaborative project"	MULTI-seq	https://www.synapse.org/#!Synapse:syn51704970	"K562-CRISPRi, teloHAEC-CRISPRi, THP1, Jurkat +/- stimulation (Engreitz)"	"http://www.ebi.ac.uk/efo/EFO_0002067,http://purl.obolibrary.org/obo/CL_2000018,http://www.ebi.ac.uk/efo/EFO_0001253,http://www.ebi.ac.uk/efo/EFO_0002796"	Human	https://www.synapse.org/#!Synapse:syn51941731	syn51941731	Unpublished IGVF	1	"Tanjin Sharma, Chris McGinnis"	Chris McGinnis	syn52118178
